supplier_id,supplier_name,contact_name,email,country,phone,performance_score,last_audit_date,preferred_supplier
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Sanchez-Taylor,Patrick Gardner,fjohnson@hall.com,Monaco,886.737.9402,2.35,2023-12-12,Yes
562b0f79-c374-49ee-b50b-ea63371ecd7b,Davis Inc,Gregory Baker,blairamanda@miller-carter.org,Turks and Caicos Islands,(993)710-3413x164,3.31,2023-09-18,No
4458a885-ab90-49a4-b5a2-40ae5af30553,"Zuniga, Wong and Lynch",Nicholas Martin,onelson@hawkins.com,Denmark,9568413953,1.84,2025-02-27,No
43cf2fde-2493-4b83-b577-50a9a491f0b2,Wright PLC,Nicole Patterson,icox@snyder.com,Niue,(669)216-6978,1.28,2024-10-01,Yes
8976e334-e281-4efd-ae84-92171d53434b,Mack-Peterson,Christopher Smith,teresa28@harrell.net,New Caledonia,925.228.8095,1.96,2023-08-12,Yes
d4e80839-fc3e-458b-a0f3-eab05cec4eb5,Allen-Allen,Angela Dennis,spenceamanda@anderson.net,Chad,989-363-8346x578,1.44,2023-11-20,Yes
969b6662-0562-4059-968c-c69b1064005c,"Hall, Robinson and Jones",Crystal Whitehead,chad34@washington.org,Morocco,337.263.1165x6670,4.9,2024-03-12,Yes
1bf90e27-dc96-425e-8cf3-a17156dc8907,Lee PLC,Javier Ramirez,nancyjones@garcia.com,Bermuda,001-932-667-7360x26064,4.99,2024-03-27,No
c88a618e-fed4-457d-bb02-6576f512c4c3,"Stanley, Tucker and Lee",Anthony Fitzgerald,adkinsbrian@woods.com,Malawi,521-291-3619,3.92,2024-08-17,No
90b2b633-956b-4c0c-a849-9b926b5252e3,"Stewart, Green and Santiago",Derek Anderson,stephen10@howell-hart.com,Barbados,+1-638-442-5135,2.4,2024-04-07,No
9c96e9ec-4d71-4366-b41b-31438b10550c,"Rice, Contreras and Spencer",Ashley Humphrey,darrell18@nelson.com,Saint Barthelemy,634-487-4016x40052,2.96,2024-11-14,Yes
8f9797b0-6d7c-43c9-b4a6-9f3c8d3aed99,Rodriguez Ltd,Kimberly Davenport,russellwilliams@nolan-flynn.com,United Arab Emirates,(833)215-8692x322,4.79,2023-10-01,Yes
ee49f329-c84a-4b28-950a-1b46ecab3301,Pham-Shields,Debra Cobb,reyesbenjamin@walker-velasquez.info,Guernsey,733-203-6541x4586,4.89,2023-08-15,Yes
94a1875d-2db6-4edb-82de-ffccf86c2ca2,Johnson-Carlson,Richard Graham,cruzbarbara@williams-graham.net,Uzbekistan,+1-635-661-5951,3.72,2024-09-21,Yes
4bb00f20-b27c-4026-a703-b6365380b904,"Martinez, Fisher and Bentley",Stephanie Gilbert,richard04@clark-floyd.org,Palau,577-673-8721x48951,2.86,2023-11-03,Yes
0bd4a990-0640-4e0f-a5b8-fd4b32fa2de8,Riggs PLC,Angel Perry,jennifercruz@sanchez-douglas.com,Uganda,001-716-932-8708x31727,4.55,2024-08-12,No
6d3ee1dc-8139-4443-a45b-712eb8225688,"Griffin, Moore and Hensley",Paul Larsen,katie87@allen.com,Faroe Islands,958-812-2362x31665,3.08,2023-07-07,No
e7a37e81-63b4-408b-ab8e-869fd5385b0e,"Shah, Smith and Gilmore",Karen Bender,karen68@navarro.info,Cyprus,267-806-5627x298,2.67,2024-07-28,No
a48b3dbe-157d-44a1-86f0-28ffa9ba5a27,Taylor-Murray,James Lewis,matthew64@king-miller.com,San Marino,+1-205-431-0033,1.99,2023-11-13,Yes
90604f62-1d48-4071-ab61-a7b1793b4c32,Marshall LLC,Carol Lawson,stricklandfrank@rodriguez-johnson.com,Morocco,+1-866-731-9314x91905,1.87,2023-07-12,Yes
d97dc9cd-033d-4bce-975a-ed2ca5c5650c,Short-Garcia,Madison Poole,ryangross@nelson.info,Lao People's Democratic Republic,(294)953-1473x79965,2.43,2025-02-03,Yes
5ad5cf06-364d-4c87-bcd0-129d2e8d0e87,Peterson-Beard,Desiree Smith,christophercortez@peters-allen.info,Oman,001-977-701-4363x495,2.8,2024-03-29,Yes
5a104129-54ae-4d1b-8ce6-424dbef59fe6,"Chavez, Parker and Hall",Emily Newton,jamesrodgers@hardy-bray.net,Nepal,213-643-5240x8240,2.17,2024-10-13,No
c0b6fce2-de53-490a-a34b-6cf62053da42,Garcia-Smith,John Peterson,kingmichelle@short.info,Barbados,001-802-529-4131,3.49,2024-12-10,No
715629ee-e893-4e3d-b354-ea6f61607459,Dalton-Branch,Marc Lynch,mezajared@baker.com,Dominican Republic,(681)220-6797,4.18,2023-11-08,Yes
dc0f2fcf-b3f6-4e0d-8860-3b32b4fb0eb9,Jones-Hall,Rick Lawrence,ronaldstephens@hernandez.com,Chad,999-347-1746x4887,4.78,2024-08-02,Yes
5283aac7-bc0a-4a5d-ae99-6e3ee3b137fc,"Wright, Davis and Hayden",Laura Sampson,barbara27@pearson.org,Jordan,+1-671-875-6551x2567,2.65,2025-01-06,Yes
168b1625-746f-4891-8964-fbbf8cd321b0,King-Wilson,Sharon Bryan,sandovalamy@brown-stone.org,Saudi Arabia,570.434.8247x7109,3.46,2024-01-05,No
