supplier_uuid,supplier_name,contact_name,email,country,phone,performance_score,last_audit_date,preferred_supplier,supplier_uuid,status,compliance_score,last_inspection,supplier_uuid,category,rating,last_order_date
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Sanchez-Taylor,Patrick Gardner,fjohnson@hall.com,Monaco,886.737.9402,1.09,2023-12-12,No,ad31d280-a864-4b7c-b4d7-7cdf60dc88bf,inactive,90.5,2024-12-27,ad31d280-a864-4b7c-b4d7-7cdf60dc88bf,Raw Materials,3.19,2024-08-03
562b0f79-c374-49ee-b50b-ea63371ecd7b,Davis Inc,Gregory Baker,blairamanda@miller-carter.org,Turks and Caicos Islands,(993)710-3413x164,1.05,2023-09-18,Yes,7c77bbed-b9ed-4eee-8dc4-1ea9e36d9559,inactive,76.8,2024-10-18,7c77bbed-b9ed-4eee-8dc4-1ea9e36d9559,Raw Materials,1.21,2024-03-17
4458a885-ab90-49a4-b5a2-40ae5af30553,"Zuniga, Wong and Lynch",Nicholas Martin,onelson@hawkins.com,Denmark,9568413953,2.67,2025-02-27,Yes,361f83da-c6ed-440c-ab48-df2e8d5dbc9f,inactive,87.7,2024-09-04,361f83da-c6ed-440c-ab48-df2e8d5dbc9f,Manufacturing,4.71,2023-12-20
43cf2fde-2493-4b83-b577-50a9a491f0b2,Wright PLC,Nicole Patterson,icox@snyder.com,Niue,(669)216-6978,1.86,2024-10-01,Yes,4307877f-386f-4c33-8b96-9596f804be96,active,99.5,2024-06-19,4307877f-386f-4c33-8b96-9596f804be96,Raw Materials,4.97,2023-07-19
8976e334-e281-4efd-ae84-92171d53434b,Mack-Peterson,Christopher Smith,teresa28@harrell.net,New Caledonia,925.228.8095,4.33,2023-08-12,No,11dbd376-c170-46d2-b2b0-665617de56dd,active,67.1,2024-11-26,11dbd376-c170-46d2-b2b0-665617de56dd,Logistics,1.68,2024-06-02
d4e80839-fc3e-458b-a0f3-eab05cec4eb5,Allen-Allen,Angela Dennis,spenceamanda@anderson.net,Chad,989-363-8346x578,1.72,2023-11-20,Yes,ffda04da-db9d-401b-b1a1-58d11c619ade,active,79.8,2025-03-30,ffda04da-db9d-401b-b1a1-58d11c619ade,Manufacturing,4.37,2025-02-05
969b6662-0562-4059-968c-c69b1064005c,"Hall, Robinson and Jones",Crystal Whitehead,chad34@washington.org,Morocco,337.263.1165x6670,4.45,2024-03-12,No,027c3026-4fe2-4a28-9a83-7a2ba22c468b,active,92.8,2025-05-04,027c3026-4fe2-4a28-9a83-7a2ba22c468b,Manufacturing,4.48,2025-04-15
1bf90e27-dc96-425e-8cf3-a17156dc8907,Lee PLC,Javier Ramirez,nancyjones@garcia.com,Bermuda,001-932-667-7360x26064,3.53,2024-03-27,No,b2894d91-15ff-4b10-abef-eeb857809964,inactive,70.5,2025-02-03,b2894d91-15ff-4b10-abef-eeb857809964,Raw Materials,2.83,2024-10-18
c88a618e-fed4-457d-bb02-6576f512c4c3,"Stanley, Tucker and Lee",Anthony Fitzgerald,adkinsbrian@woods.com,Malawi,521-291-3619,3.43,2024-08-17,No,1da7f6dc-a2dc-403b-909a-da072815209f,inactive,84.1,2024-10-31,1da7f6dc-a2dc-403b-909a-da072815209f,Manufacturing,1.23,2024-04-12
90b2b633-956b-4c0c-a849-9b926b5252e3,"Stewart, Green and Santiago",Derek Anderson,stephen10@howell-hart.com,Barbados,+1-638-442-5135,1.11,2024-04-07,Yes,4f49a94a-0091-49b1-ab23-e5319655c748,pending,85.7,2024-09-13,4f49a94a-0091-49b1-ab23-e5319655c748,Logistics,2.3,2024-01-05
9c96e9ec-4d71-4366-b41b-31438b10550c,"Rice, Contreras and Spencer",Ashley Humphrey,darrell18@nelson.com,Saint Barthelemy,634-487-4016x40052,2.26,2024-11-14,Yes,6a008647-5c74-41da-8098-925109de91c6,pending,63.9,2024-05-22,6a008647-5c74-41da-8098-925109de91c6,Logistics,1.55,2023-05-23
