supplier_uuid,supplier_name,contact_name,email,country,phone,performance_score,last_audit_date,preferred_supplier,supplier_uuid,status,compliance_score,last_inspection,supplier_uuid,category,rating,last_order_date
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Sanchez-Taylor,Patrick Gardner,fjohnson@hall.com,Monaco,886.737.9402,1.66,2023-12-13,Yes,bfa9f19a-7769-4474-89ea-354c9c58edae,pending,61.7,2024-06-10,e5b89522-0945-49ac-97e9-6eb1f0aea017,Manufacturing,1.06,2024-08-16
562b0f79-c374-49ee-b50b-ea63371ecd7b,Davis Inc,Gregory Baker,blairamanda@miller-carter.org,Turks and Caicos Islands,(993)710-3413x164,1.32,2023-09-19,No,bb707d14-e58a-4a87-aee9-fb1fe30a513d,inactive,79.2,2024-11-29,f7c33d4e-938e-4d71-9eb2-a5143326c250,Raw Materials,4.63,2025-03-02
4458a885-ab90-49a4-b5a2-40ae5af30553,"Zuniga, Wong and Lynch",Nicholas Martin,onelson@hawkins.com,Denmark,9568413953,4.38,2025-02-28,No,4836d1ea-7a38-4687-ad7d-26dfdc3d8d9e,inactive,77.0,2025-01-20,c8c9d38f-ddd6-4170-b0b3-d715db415a85,Logistics,2.07,2023-08-08
43cf2fde-2493-4b83-b577-50a9a491f0b2,Wright PLC,Nicole Patterson,icox@snyder.com,Niue,(669)216-6978,2.99,2024-10-02,Yes,d9d75e55-7166-4ebd-8d3d-e6bc286f15e6,inactive,78.3,2025-01-17,7d1d4211-c57e-4f52-8422-86a27726c5cc,Raw Materials,1.06,2025-05-13
8976e334-e281-4efd-ae84-92171d53434b,Mack-Peterson,Christopher Smith,teresa28@harrell.net,New Caledonia,925.228.8095,1.17,2023-08-13,No,1c2a7fee-8271-4d64-b405-83740de4cf22,active,72.1,2024-08-26,da1aca32-bdc2-45a9-bf24-e07700ff7fad,Logistics,3.47,2023-11-29
d4e80839-fc3e-458b-a0f3-eab05cec4eb5,Allen-Allen,Angela Dennis,spenceamanda@anderson.net,Chad,989-363-8346x578,3.68,2023-11-21,No,db12196f-2403-484f-b16e-3b547f9c872e,inactive,81.1,2025-03-21,1ff35966-37d5-4547-8943-9aca49c9de6b,Raw Materials,2.37,2024-02-09
969b6662-0562-4059-968c-c69b1064005c,"Hall, Robinson and Jones",Crystal Whitehead,chad34@washington.org,Morocco,337.263.1165x6670,3.05,2024-03-13,No,a60b9eb0-5283-4ae7-a1e9-2be724773438,pending,62.8,2024-12-04,90f7e23e-5cfa-414f-a435-22f34fc37ae5,Manufacturing,3.45,2024-06-12
1bf90e27-dc96-425e-8cf3-a17156dc8907,Lee PLC,Javier Ramirez,nancyjones@garcia.com,Bermuda,001-932-667-7360x26064,1.19,2024-03-28,Yes,cf22a4d7-66ff-457f-96e5-1ed22b1c7f78,pending,92.6,2024-08-17,63111efa-4421-416a-93aa-6b0c0803851e,Raw Materials,2.22,2023-06-17
c88a618e-fed4-457d-bb02-6576f512c4c3,"Stanley, Tucker and Lee",Anthony Fitzgerald,adkinsbrian@woods.com,Malawi,521-291-3619,4.97,2024-08-18,Yes,2d2afc1d-26a7-40b6-87df-781402a7480c,pending,72.8,2024-05-23,87ccc4bd-a793-4666-b9f2-924fd522336e,Raw Materials,4.61,2023-12-05
90b2b633-956b-4c0c-a849-9b926b5252e3,"Stewart, Green and Santiago",Derek Anderson,stephen10@howell-hart.com,Barbados,+1-638-442-5135,4.03,2024-04-08,Yes,bcdc31d0-cbd9-4a5c-b597-9b2e49a88931,inactive,77.9,2025-03-23,8e352d32-0d16-4189-9c05-ebff0bbc0a3e,Raw Materials,4.81,2023-10-15
9c96e9ec-4d71-4366-b41b-31438b10550c,"Rice, Contreras and Spencer",Ashley Humphrey,darrell18@nelson.com,Saint Barthelemy,634-487-4016x40052,3.49,2024-11-15,No,6c11dedb-b701-4451-98e5-b8370a6bf49a,pending,66.4,2025-01-01,406a7dd3-e24b-4f18-9249-b97702ff3c74,Manufacturing,1.92,2024-07-30
8f9797b0-6d7c-43c9-b4a6-9f3c8d3aed99,Rodriguez Ltd,Kimberly Davenport,russellwilliams@nolan-flynn.com,United Arab Emirates,(833)215-8692x322,3.67,2023-10-02,Yes,d410118f-4ad6-493a-852c-87396cd13c7d,pending,65.2,2024-10-10,aec0f392-1b9c-4f37-b4b2-6e2ec0ad31d1,Raw Materials,2.59,2025-05-04
ee49f329-c84a-4b28-950a-1b46ecab3301,Pham-Shields,Debra Cobb,reyesbenjamin@walker-velasquez.info,Guernsey,733-203-6541x4586,2.92,2023-08-16,Yes,4ca2d451-0291-427d-9ef7-35ae3e530555,inactive,65.5,2024-11-23,624ff8ce-c05d-473f-a1a2-a0a98c1ab766,Raw Materials,4.51,2024-05-13
94a1875d-2db6-4edb-82de-ffccf86c2ca2,Johnson-Carlson,Richard Graham,cruzbarbara@williams-graham.net,Uzbekistan,+1-635-661-5951,4.34,2024-09-22,No,de21275f-88dc-4b43-ab4c-ca06c9189a21,pending,68.4,2024-12-01,f5372c29-7752-475b-ae61-04352f4e1bf9,Logistics,1.75,2024-01-20
4bb00f20-b27c-4026-a703-b6365380b904,"Martinez, Fisher and Bentley",Stephanie Gilbert,richard04@clark-floyd.org,Palau,577-673-8721x48951,4.4,2023-11-04,No,8e7f05c6-09c3-4192-8b35-138d4bb491bf,pending,75.1,2024-11-02,6a14f0b3-690b-4a03-a318-5bc26d2f78f2,Logistics,1.75,2023-11-08
0bd4a990-0640-4e0f-a5b8-fd4b32fa2de8,Riggs PLC,Angel Perry,jennifercruz@sanchez-douglas.com,Uganda,001-716-932-8708x31727,2.24,2024-08-13,Yes,d2bdc87f-7a31-4c9e-90d5-05ae3af85c0a,active,71.7,2025-03-26,90d86bcf-95f0-4a72-b8fa-009c2ad6b044,Logistics,2.52,2024-04-22
6d3ee1dc-8139-4443-a45b-712eb8225688,"Griffin, Moore and Hensley",Paul Larsen,katie87@allen.com,Faroe Islands,958-812-2362x31665,2.73,2023-07-08,No,e3821f6c-c997-4d37-a8e8-045b25326982,active,88.8,2024-06-29,258add3f-3f86-435a-8ab8-8be19509fd3c,Logistics,4.43,2024-10-07
e7a37e81-63b4-408b-ab8e-869fd5385b0e,"Shah, Smith and Gilmore",Karen Bender,karen68@navarro.info,Cyprus,267-806-5627x298,3.07,2024-07-29,No,89c4ce06-bd5e-4de4-877e-2f95aa8b7575,inactive,68.4,2024-06-17,4e6621e2-29b0-4d88-a4e9-6ebcda35f626,Manufacturing,1.91,2023-09-23
a48b3dbe-157d-44a1-86f0-28ffa9ba5a27,Taylor-Murray,James Lewis,matthew64@king-miller.com,San Marino,+1-205-431-0033,3.89,2023-11-14,No,71122a6f-b159-4a87-afa6-f1f5e589d2a8,pending,76.9,2025-04-15,d3c1d716-33fa-439f-9089-2eb5fd7a8e45,Logistics,1.49,2024-06-30
90604f62-1d48-4071-ab61-a7b1793b4c32,Marshall LLC,Carol Lawson,stricklandfrank@rodriguez-johnson.com,Morocco,+1-866-731-9314x91905,1.87,2023-07-13,Yes,62a297c3-93a3-49ff-9405-3c526cbc7004,inactive,95.3,2024-11-06,26cf2402-644b-44fd-905a-dddc215dd101,Manufacturing,3.77,2024-03-29
d97dc9cd-033d-4bce-975a-ed2ca5c5650c,Short-Garcia,Madison Poole,ryangross@nelson.info,Lao People's Democratic Republic,(294)953-1473x79965,4.72,2025-02-04,Yes,9a527962-514f-4d9b-90eb-9d2caf6afa9e,inactive,65.3,2025-03-19,f4a2f429-b5a4-4736-b4c7-62f886aaeafe,Logistics,4.27,2025-01-14
5ad5cf06-364d-4c87-bcd0-129d2e8d0e87,Peterson-Beard,Desiree Smith,christophercortez@peters-allen.info,Oman,001-977-701-4363x495,3.03,2024-03-30,Yes,eca9ae33-3789-4823-bfcd-155768262f01,active,83.1,2024-07-05,5eeeca61-bfe8-4ac4-9b6c-449062de6339,Manufacturing,1.43,2023-12-19
5a104129-54ae-4d1b-8ce6-424dbef59fe6,"Chavez, Parker and Hall",Emily Newton,jamesrodgers@hardy-bray.net,Nepal,213-643-5240x8240,1.94,2024-10-14,Yes,e6ec8ab2-9e30-4bbd-a280-d92a248ccfc6,inactive,60.0,2025-02-07,4bbb09cb-01bf-4634-b8b8-3aef81c15ae5,Manufacturing,4.16,2024-02-16
